,AXP,RIO
,close,close
timestamp,,
2022-01-03 05:00:00+00:00,168.21,66.73
2022-01-04 05:00:00+00:00,173.61,67.52
2022-01-05 05:00:00+00:00,171.76,68.71
2022-01-06 05:00:00+00:00,172.9,70.04
2022-01-07 05:00:00+00:00,174.38,72.24
2022-01-10 05:00:00+00:00,173.74,72.71
2022-01-11 05:00:00+00:00,175.38,74.42
2022-01-12 05:00:00+00:00,174.47,76.07
2022-01-13 05:00:00+00:00,173.29,75.66
2022-01-14 05:00:00+00:00,168.4,75.4
2022-01-18 05:00:00+00:00,166.17,75.73
2022-01-19 05:00:00+00:00,161.39,77.92
2022-01-20 05:00:00+00:00,160.92,76.16
2022-01-21 05:00:00+00:00,158.74,74.36
2022-01-24 05:00:00+00:00,158.93,73.27
2022-01-25 05:00:00+00:00,173.11,73.68
2022-01-26 05:00:00+00:00,175.32,74.03
2022-01-27 05:00:00+00:00,171.9,75.09
2022-01-28 05:00:00+00:00,177.06,73.13
2022-01-31 05:00:00+00:00,179.82,71.4
2022-02-01 05:00:00+00:00,183.54,74.2
2022-02-02 05:00:00+00:00,184.16,74.29
2022-02-03 05:00:00+00:00,184.04,73.47
2022-02-04 05:00:00+00:00,185.85,73.89
2022-02-07 05:00:00+00:00,187.87,76.64
2022-02-08 05:00:00+00:00,194.0,78.1
2022-02-09 05:00:00+00:00,196.4,78.33
2022-02-10 05:00:00+00:00,195.51,78.96
2022-02-11 05:00:00+00:00,191.81,77.79
2022-02-14 05:00:00+00:00,192.35,78.37
2022-02-15 05:00:00+00:00,197.98,77.13
2022-02-16 05:00:00+00:00,198.38,78.56
2022-02-17 05:00:00+00:00,195.71,76.68
2022-02-18 05:00:00+00:00,194.88,77.63
2022-02-22 05:00:00+00:00,192.44,77.77
2022-02-23 05:00:00+00:00,188.95,77.5
2022-02-24 05:00:00+00:00,188.35,73.85
2022-02-25 05:00:00+00:00,193.71,77.96
2022-02-28 05:00:00+00:00,194.54,78.58
2022-03-01 05:00:00+00:00,178.06,80.03
2022-03-02 05:00:00+00:00,180.31,83.54
2022-03-03 05:00:00+00:00,179.89,84.0
2022-03-04 05:00:00+00:00,172.95,81.88
2022-03-07 05:00:00+00:00,159.13,79.54
2022-03-08 05:00:00+00:00,160.05,77.53
2022-03-09 05:00:00+00:00,168.65,77.72
2022-03-10 05:00:00+00:00,169.6,74.85
2022-03-11 05:00:00+00:00,167.9,72.72
2022-03-14 04:00:00+00:00,172.79,69.37
2022-03-15 04:00:00+00:00,176.04,69.08
2022-03-16 04:00:00+00:00,180.61,72.72
2022-03-17 04:00:00+00:00,186.97,74.84
2022-03-18 04:00:00+00:00,190.72,75.43
2022-03-21 04:00:00+00:00,189.09,77.69
2022-03-22 04:00:00+00:00,191.33,76.47
2022-03-23 04:00:00+00:00,186.02,77.88
2022-03-24 04:00:00+00:00,188.89,78.3
2022-03-25 04:00:00+00:00,190.28,79.52
2022-03-28 04:00:00+00:00,189.7,78.53
2022-03-29 04:00:00+00:00,190.94,78.38
2022-03-30 04:00:00+00:00,189.76,80.5
2022-03-31 04:00:00+00:00,187.0,80.4
2022-04-01 04:00:00+00:00,187.17,82.68
2022-04-04 04:00:00+00:00,187.66,81.38
2022-04-05 04:00:00+00:00,185.4,80.49
2022-04-06 04:00:00+00:00,183.71,80.57
2022-04-07 04:00:00+00:00,182.39,80.85
2022-04-08 04:00:00+00:00,183.7,80.28
2022-04-11 04:00:00+00:00,177.57,79.74
2022-04-12 04:00:00+00:00,175.54,80.49
2022-04-13 04:00:00+00:00,179.59,81.94
2022-04-14 04:00:00+00:00,181.16,81.87
2022-04-18 04:00:00+00:00,184.48,82.4
2022-04-19 04:00:00+00:00,187.17,80.7
2022-04-20 04:00:00+00:00,188.46,78.58
2022-04-21 04:00:00+00:00,185.74,74.81
2022-04-22 04:00:00+00:00,180.54,72.67
2022-04-25 04:00:00+00:00,184.1,70.84
2022-04-26 04:00:00+00:00,178.65,68.74
2022-04-27 04:00:00+00:00,177.63,71.9
2022-04-28 04:00:00+00:00,181.98,71.51
2022-04-29 04:00:00+00:00,174.71,71.12
2022-05-02 04:00:00+00:00,171.62,70.95
2022-05-03 04:00:00+00:00,172.11,71.12
2022-05-04 04:00:00+00:00,177.82,71.81
2022-05-05 04:00:00+00:00,171.01,68.97
2022-05-06 04:00:00+00:00,167.15,68.07
2022-05-09 04:00:00+00:00,161.02,64.97
2022-05-10 04:00:00+00:00,161.83,65.1
2022-05-11 04:00:00+00:00,159.39,65.42
2022-05-12 04:00:00+00:00,153.27,64.42
2022-05-13 04:00:00+00:00,158.75,65.81
2022-05-16 04:00:00+00:00,156.43,66.57
2022-05-17 04:00:00+00:00,161.85,68.96
2022-05-18 04:00:00+00:00,156.1,66.67
2022-05-19 04:00:00+00:00,154.0,67.93
2022-05-20 04:00:00+00:00,153.24,69.54
2022-05-23 04:00:00+00:00,159.04,70.73
2022-05-24 04:00:00+00:00,155.63,71.27
2022-05-25 04:00:00+00:00,160.51,71.89
2022-05-26 04:00:00+00:00,165.37,72.13
2022-05-27 04:00:00+00:00,169.6,73.19
2022-05-31 04:00:00+00:00,168.82,73.44
2022-06-01 04:00:00+00:00,165.76,73.23
2022-06-02 04:00:00+00:00,169.14,75.82
2022-06-03 04:00:00+00:00,166.83,74.86
2022-06-06 04:00:00+00:00,167.02,75.91
2022-06-07 04:00:00+00:00,168.69,78.4
2022-06-08 04:00:00+00:00,165.96,76.49
2022-06-09 04:00:00+00:00,160.98,74.41
2022-06-10 04:00:00+00:00,154.42,71.69
2022-06-13 04:00:00+00:00,146.29,68.81
2022-06-14 04:00:00+00:00,144.6,67.42
2022-06-15 04:00:00+00:00,146.22,69.52
2022-06-16 04:00:00+00:00,137.5,68.04
2022-06-17 04:00:00+00:00,144.18,64.54
2022-06-21 04:00:00+00:00,144.76,65.4
